National Park,Airport Name,Code
Denali,Fairbanks International Airport,FAI
Denali,Ted Stevens Anchorage International Airport,ANC
Gates of the Arctic,Fairbanks International Airport,FAI
Glacier Bay,Juneau International Airport,JNU
Katmai,King Salmon Airport,AKN
Kenai Fjords,Ted Stevens Anchorage International Airport,ANC
Kobuk Valley,Fairbanks International Airport,FAI
Lake Clark,Ted Stevens Anchorage International Airport,ANC
Wrangell-St. Elias,Ted Stevens Anchorage International Airport,ANC
Wrangell-St. Elias,Fairbanks International Airport,FAI
Grand Canyon,Flagstaff Pulliam Airport,FLG
Grand Canyon,Phoenix Sky Harbor International Airport,PHX
Petrified Forest,Phoenix Sky Harbor International Airport,PHX
Petrified Forest,Albuquerque International Sunport,ABQ
Saguaro,Tucson International Airport,TUS
Hot Springs,Bill and Hillary Clinton National Airport,LIT
Channel Islands,Los Angeles International Airport,LAX
Channel Islands,Santa Barbara Municipal Airport,SBA
Death Valley,Harry Reid International Airport,LAS
Joshua Tree,Palm Springs International Airport,PSP
Kings Canyon,Fresno Yosemite International Airport,FAT
Lassen Volcanic,Redding Municipal Airport,RDD
Lassen Volcanic,Sacramento International Airport,SMF
Pinnacles,Monterey Regional Airport,MRY
Pinnacles,San Jose International Airport,SJC
Redwood,Arcata-Eureka Airport,ACV
Sequoia,Fresno Yosemite International Airport,FAT
Yosemite,Fresno Yosemite International Airport,FAT
Yosemite,San Francisco International Airport,SFO
Black Canyon of the Gunnison,Montrose Regional Airport,MTJ
Great Sand Dunes,San Luis Valley Regional Airport,ALS
Great Sand Dunes,Denver International Airport,DEN
Mesa Verde,Durango-La Plata County Airport,DRO
Rocky Mountain,Denver International Airport,DEN
Biscayne,Miami International Airport,MIA
Dry Tortugas,Key West International Airport,EYW
Everglades,Miami International Airport,MIA
Everglades,Fort Lauderdale-Hollywood International Airport,FLL
Hawaiʻi Volcanoes,Hilo International Airport,ITO
Hawaiʻi Volcanoes,Kona International Airport,KOA
Haleakalā,Kahului Airport,OGG
Mammoth Cave,Louisville Muhammad Ali International Airport,SDF
Mammoth Cave,Nashville International Airport,BNA
Acadia,Hancock County-Bar Harbor Airport,BHB
Acadia,Bangor International Airport,BGR
Isle Royale,Houghton County Memorial Airport,CMX
Isle Royale,Duluth International Airport,DLH
Voyageurs,Falls International Airport,INL
Voyageurs,Duluth International Airport,DLH
Gateway Arch,St. Louis Lambert International Airport,STL
Glacier,Glacier Park International Airport,FCA
Yellowstone (Montana entrance),Bozeman Yellowstone International Airport,BZN
Great Basin,Salt Lake City International Airport,SLC
Great Basin,Elko Regional Airport,EKO
Carlsbad Caverns,Cavern City Air Terminal,CNM
Carlsbad Caverns,El Paso International Airport,ELP
White Sands,El Paso International Airport,ELP
Theodore Roosevelt,Dickinson Theodore Roosevelt Regional Airport,DIK
Cuyahoga Valley,Cleveland Hopkins International Airport,CLE
Crater Lake,Rogue Valley International-Medford Airport,MFR
Congaree,Columbia Metropolitan Airport,CAE
Badlands,Rapid City Regional Airport,RAP
Wind Cave,Rapid City Regional Airport,RAP
Great Smoky Mountains,McGhee Tyson Airport,TYS
Great Smoky Mountains,Asheville Regional Airport,AVL
Big Bend,Midland International Air & Space Port,MAF
Guadalupe Mountains,El Paso International Airport,ELP
Arches,Canyonlands Field Airport,CNY
Arches,Salt Lake City International Airport,SLC
Bryce Canyon,Cedar City Regional Airport,CDC
Bryce Canyon,Salt Lake City International Airport,SLC
Canyonlands,Canyonlands Field Airport,CNY
Capitol Reef,Salt Lake City International Airport,SLC
Zion,Harry Reid International Airport,LAS
Shenandoah,Washington Dulles International Airport,IAD
Mount Rainier,Seattle-Tacoma International Airport,SEA
North Cascades,Seattle-Tacoma International Airport,SEA
Olympic,Seattle-Tacoma International Airport,SEA
New River Gorge,Yeager Airport,CRW
Grand Teton,Jackson Hole Airport,JAC
Yellowstone (Wyoming entrance),Jackson Hole Airport,JAC
Yellowstone (Wyoming entrance),Bozeman Yellowstone International Airport,BZN
National Park of American Samoa,Pago Pago International Airport,PPG
Virgin Islands,Cyril E. King Airport,STT
