City,FAA,IATA,ICAO,Airport,Role,Enplanements
ALABAMA,,,,,,
Birmingham,BHM,BHM,KBHM,Birmingham–Shuttlesworth International Airport,P-S,1081328.0
Dothan,DHN,DHN,KDHN,Dothan Regional Airport,P-N,37047.0
Huntsville,HSV,HSV,KHSV,Huntsville International Airport (Carl T. Jones Field),P-S,459759.0
Mobile,MOB,MOB,KMOB,Mobile Regional Airport,P-N,236007.0
Montgomery,MGM,MGM,KMGM,Montgomery Regional Airport (Dannelly Field),P-N,129033.0
ALASKA,,,,,,
Anchorage,MRI,MRI,PAMR,Merrill Field,P-N,22907.0
Anchorage,ANC,ANC,PANC,Ted Stevens Anchorage International Airport,P-M,2184959.0
Bethel,BET,BET,PABE,Bethel Airport (also see Bethel Seaplane Base),P-N,105877.0
Cordova,CDV,CDV,PACV,Merle K. (Mudhole) Smith Airport,P-N,15058.0
Deadhorse,SCC,SCC,PASC,Deadhorse Airport (Prudhoe Bay Airport),P-N,64245.0
Dillingham,DLG,DLG,PADL,Dillingham Airport,P-N,25988.0
Fairbanks,FAI,FAI,PAFA,Fairbanks International Airport,P-S,450694.0
Gustavus,GST,GST,PAGS,Gustavus Airport,P-N,10305.0
Homer,HOM,HOM,PAHO,Homer Airport,P-N,30972.0
Juneau,JNU,JNU,PAJN,Juneau International Airport,P-N,306512.0
Kenai,ENA,ENA,PAEN,Kenai Municipal Airport,P-N,68044.0
Ketchikan,KTN,KTN,PAKT,Ketchikan International Airport,P-N,117728.0
King Salmon,AKN,AKN,PAKN,King Salmon Airport,P-N,29914.0
Klawock,AKW,KLW,PAKW,Klawock Airport (also see Klawock Seaplane Base),P-N,14157.0
Kodiak,ADQ,ADQ,PADQ,Kodiak Airport (Benny Benson State Airport),P-N,72905.0
Kotzebue,OTZ,OTZ,PAOT,Ralph Wien Memorial Airport,P-N,46305.0
Nome,OME,OME,PAOM,Nome Airport,P-N,46645.0
Petersburg,PSG,PSG,PAPG,Petersburg James A. Johnson Airport,P-N,20690.0
Sitka,SIT,SIT,PASI,Sitka Rocky Gutierrez Airport,P-N,80366.0
Unalaska,DUT,DUT,PADU,Unalaska Airport (Tom Madsen/Dutch Harbor Airport),P-N,19099.0
Utqiaġvik (Barrow),BRW,BRW,PABR,Wiley Post–Will Rogers Memorial Airport,P-N,31898.0
Wrangell,WRG,WRG,PAWG,Wrangell Airport (also see Wrangell Seaplane Base),P-N,12100.0
Yakutat,YAK,YAK,PAYA,Yakutat Airport (also see Yakutat Seaplane Base),P-N,10899.0
ARIZONA,,,,,,
Flagstaff,FLG,FLG,KFLG,Flagstaff Pulliam Airport,P-N,115596.0
Mesa,IWA,AZA,KIWA,Phoenix–Mesa Gateway Airport (formerly Williams AFB),P-S,795407.0
Page,PGA,PGA,KPGA,Page Municipal Airport,P-N,14340.0
Phoenix,PHX,PHX,KPHX,Phoenix Sky Harbor International Airport,P-L,18940287.0
Prescott,PRC,PRC,KPRC,Prescott Municipal Airport (Ernest A. Love Field),P-N,23598.0
Tucson,TUS,TUS,KTUS,Tucson International Airport,P-S,1323536.0
Yuma,NYL,YUM,KNYL,Yuma International Airport / MCAS Yuma,P-N,110182.0
ARKANSAS,,,,,,
Fayetteville,XNA,XNA,KXNA,Northwest Arkansas National Airport,P-S,598787.0
Fort Smith,FSM,FSM,KFSM,Fort Smith Regional Airport,P-N,45369.0
Little Rock,LIT,LIT,KLIT,Bill and Hillary Clinton National Airport (Adams Field) (was Little Rock National),P-S,827922.0
Texarkana,TXK,TXK,KTXK,Texarkana Regional Airport (Webb Field),P-N,26888.0
CALIFORNIA,,,,,,
Arcata/Eureka,ACV,ACV,KACV,California Redwood Coast–Humboldt County Airport,P-N,117972.0
Bakersfield,BFL,BFL,KBFL,Meadows Field,P-N,174891.0
Burbank,BUR,BUR,KBUR,Hollywood Burbank Airport,P-M,3132019.0
Fresno,FAT,FAT,KFAT,Fresno Yosemite International Airport,P-S,1201789.0
Long Beach,LGB,LGB,KLGB,Long Beach Airport (Daugherty Field),P-S,1837622.0
Los Angeles,LAX,LAX,KLAX,Los Angeles International Airport,P-L,36676975.0
Monterey,MRY,MRY,KMRY,Monterey Regional Airport,P-N,259762.0
Oakland,OAK,OAK,KOAK,Oakland International Airport,P-M,5520778.0
Ontario,ONT,ONT,KONT,Ontario International Airport,P-M,3181161.0
Palm Springs,PSP,PSP,KPSP,Palm Springs International Airport,P-S,1625320.0
Redding,RDD,RDD,KRDD,Redding Regional Airport,P-N,87670.0
Sacramento,SMF,SMF,KSMF,Sacramento International Airport,P-M,6371895.0
San Diego,SAN,SAN,KSAN,San Diego International Airport,P-L,12190159.0
San Francisco,SFO,SFO,KSFO,San Francisco International Airport,P-L,24191117.0
San Jose,SJC,SJC,KSJC,San Jose International Airport,P-M,5958813.0
San Luis Obispo,SBP,SBP,KSBP,San Luis Obispo County Regional Airport (McChesney Field),P-N,324925.0
Santa Ana,SNA,SNA,KSNA,John Wayne Airport,P-M,5706292.0
Santa Barbara,SBA,SBA,KSBA,Santa Barbara Municipal Airport (Santa Barbara Airport),P-S,638799.0
Santa Maria,SMX,SMX,KSMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),P-N,14409.0
Santa Rosa,STS,STS,KSTS,Charles M. Schulz–Sonoma County Airport,P-N,318196.0
Stockton,SCK,SCK,KSCK,Stockton Metropolitan Airport,P-N,67688.0
COLORADO,,,,,,
Alamosa,ALS,ALS,KALS,San Luis Valley Regional Airport (Bergman Field),P-N,11987.0
Aspen,ASE,ASE,KASE,Aspen/Pitkin County Airport (Sardy Field),P-N,248781.0
Colorado Springs,COS,COS,KCOS,City of Colorado Springs Municipal Airport,P-S,941917.0
Denver,DEN,DEN,KDEN,Denver International Airport,P-L,28645527.0
Durango,DRO,DRO,KDRO,Durango–La Plata County Airport,P-N,200245.0
Eagle/Vail,EGE,EGE,KEGE,Eagle County Regional Airport,P-N,201752.0
Grand Junction,GJT,GJT,KGJT,Grand Junction Regional Airport (Walker Field),P-N,252290.0
Gunnison,GUC,GUC,KGUC,Gunnison–Crested Butte Regional Airport,P-N,38783.0
Hayden,HDN,HDN,KHDN,Yampa Valley Airport (Yampa Valley Regional),P-N,150142.0
Montrose,MTJ,MTJ,KMTJ,Montrose Regional Airport,P-N,188355.0
CONNECTICUT,,,,,,
Hartford,BDL,BDL,KBDL,Bradley International Airport,P-M,2884843.0
New Haven,HVN,HVN,KHVN,Tweed-New Haven Airport,P-N,372000.0
DELAWARE,,,,,,
Wilmington,ILG,ILG,KILG,Wilmington Airport,P-N,12476.0
FLORIDA,,,,,,
Daytona Beach,DAB,DAB,KDAB,Daytona Beach International Airport,P-N,275166.0
Fort Lauderdale,FLL,FLL,KFLL,Fort Lauderdale–Hollywood International Airport,P-L,13598994.0
Fort Myers,RSW,RSW,KRSW,Southwest Florida International Airport,P-M,5080805.0
Fort Walton Beach,VPS,VPS,KVPS,Destin–Fort Walton Beach Airport / Eglin Air Force Base,P-S,973477.0
Gainesville,GNV,GNV,KGNV,Gainesville Regional Airport,P-N,200444.0
Jacksonville,JAX,JAX,KJAX,Jacksonville International Airport,P-M,2425685.0
Key West,EYW,EYW,KEYW,Key West International Airport,P-S,741130.0
Melbourne,MLB,MLB,KMLB,Melbourne Orlando International Airport,P-N,176820.0
Miami,MIA,MIA,KMIA,Miami International Airport,P-L,17500096.0
Orlando,MCO,MCO,KMCO,Orlando International Airport,P-L,19618838.0
Panama City,ECP,ECP,KECP,Northwest Florida Beaches International Airport,P-S,794846.0
Pensacola,PNS,PNS,KPNS,Pensacola International Airport,P-S,1168575.0
Punta Gorda,PGD,PGD,KPGD,Punta Gorda Airport,P-S,783397.0
Sanford,SFB,SFB,KSFB,Orlando Sanford International Airport,P-S,1174471.0
Sarasota,SRQ,SRQ,KSRQ,Sarasota–Bradenton International Airport,P-S,1574063.0
