country_code,region_name,iata,icao,airport,latitude,longitude
AS,Eastern District,PPG,NSTU,Pago Pago International Airport,-14.331,-170.71
GU,Barrigada,GUM,PGUM,Antonio B. Won Pat International Airport (Guam Int'l),13.4834,144.796
MP,Northern Mariana Islands,SPN,PGSN,Saipan International Airport (Francisco C. Ada Int'l),15.119,145.729
MP,Northern Mariana Islands,TIQ,PGWT,Tinian International Airport (West Tinian Airport),14.9992,145.619
PR,Carolina,SJU,TJSJ,Luis Munoz Marin International Airport,18.4394,-66.0018
US,Alabama,BHM,KBHM,Birmingham-Shuttlesworth International Airport,33.5629,-86.7535
US,Alabama,HSV,KHSV,Huntsville International Airport (Carl T. Jones Field),34.6372,-86.7751
US,Alaska,AKN,PAKN,King Salmon Airport,58.6768,-156.649
US,Alaska,ANC,PANC,Ted Stevens Anchorage International Airport,61.1744,-149.996
US,Alaska,FAI,PAFA,Fairbanks International Airport,64.8151,-147.856
US,Alaska,JNU,PAJN,Juneau International Airport,58.355,-134.576
US,Alaska,KTN,PAKT,Ketchikan International Airport,55.3556,-131.714
US,Arizona,AZA,KIWA,Phoenix-Mesa Gateway Airport,33.3078,-111.655
US,Arizona,FLG,KFLG,Flagstaff Pulliam Airport,35.1385,-111.671
US,Arizona,PHX,KPHX,Phoenix Sky Harbor International Airport,33.4343,-112.012
US,Arizona,TUS,KTUS,Tucson International Airport,32.1161,-110.941
US,Arizona,YUM,KNYL,Yuma International Airport / MCAS Yuma,32.6566,-114.606
US,Arkansas,LIT,KLIT,Clinton National Airport (Adams Field),34.7294,-92.2243
US,Arkansas,XNA,KXNA,Northwest Arkansas Regional Airport,36.2819,-94.3068
US,California,ACV,KACV,Arcata-Eureka Airport,40.9781,-124.109
US,California,BUR,KBUR,Bob Hope Airport,34.2007,-118.359
US,California,FAT,KFAT,Fresno Yosemite International Airport,36.7762,-119.718
US,California,LAX,KLAX,Los Angeles International Airport,33.9425,-118.408
US,California,LGB,KLGB,Long Beach Airport,33.8177,-118.152
US,California,MRY,KMRY,Monterey Regional Airport,36.587,-121.843
US,California,OAK,KOAK,Oakland International Airport,37.7213,-122.221
US,California,ONT,KONT,Ontario International Airport,34.056,-117.601
US,California,PSP,KPSP,Palm Springs International Airport,33.8297,-116.507
US,California,RDD,KRDD,Redding Municipal Airport,40.509,-122.293
US,California,SAN,KSAN,San Diego International Airport,32.7336,-117.19
US,California,SBA,KSBA,Santa Barbara Municipal Airport,34.4262,-119.84
US,California,SFO,KSFO,San Francisco International Airport,37.619,-122.375
US,California,SJC,KSJC,San Jose International Airport,37.3626,-121.929
US,California,SMF,KSMF,Sacramento International Airport,38.6954,-121.591
US,California,SNA,KSNA,John Wayne Airport (Orange County Airport),33.6757,-117.868
US,Colorado,ALS,KALS,San Luis Valley Regional Airport,37.4349,-105.867
US,Colorado,COS,KCOS,Colorado Springs Airport,38.8058,-104.701
US,Colorado,DEN,KDEN,Denver International Airport,39.8617,-104.673
US,Colorado,DRO,KDRO,Durango-La Plata County Airport,37.1515,-107.754
US,Colorado,MTJ,KMTJ,Montrose Regional Airport,38.5098,-107.894
US,Connecticut,BDL,KBDL,Bradley International Airport,41.9392,-72.6833
US,Florida,DAB,KDAB,Daytona Beach International Airport,29.1799,-81.0581
US,Florida,ECP,KECP,Northwest Florida Beaches International Airport,30.3571,-85.7954
US,Florida,EYW,KEYW,Key West International Airport,24.5561,-81.7596
US,Florida,FLL,KFLL,Fort Lauderdale-Hollywood International Airport,26.0726,-80.1527
US,Florida,JAX,KJAX,Jacksonville International Airport,30.4941,-81.6879
US,Florida,MCO,KMCO,Orlando International Airport,28.4294,-81.309
US,Florida,MIA,KMIA,Miami International Airport,25.7932,-80.2906
US,Florida,MLB,KMLB,Orlando Melbourne International Airport,28.1028,-80.6453
US,Florida,PBI,KPBI,Palm Beach International Airport,26.6832,-80.0956
US,Florida,PGD,KPGD,Punta Gorda Airport,26.9202,-81.9905
US,Florida,PIE,KPIE,St. Pete-Clearwater International Airport,27.9102,-82.6874
US,Florida,PNS,KPNS,Pensacola International Airport,30.4734,-87.1866
US,Florida,RSW,KRSW,Southwest Florida International Airport,26.5362,-81.7552
US,Florida,SFB,KSFB,Orlando Sanford International Airport,28.7776,-81.2375
US,Florida,SRQ,KSRQ,Sarasota-Bradenton International Airport,27.3954,-82.5544
US,Florida,TLH,KTLH,Tallahassee International Airport,30.3965,-84.3503
US,Florida,TPA,KTPA,Tampa International Airport,27.9755,-82.5332
US,Florida,VPS,KVPS,Destin-Fort Walton Beach Airport / Eglin Air Force Base,30.4832,-86.5254
