Name,Description,Location,Established,Area,Annual_Visitors,Latitude,Longitude,AllTrails URL,Map Link,Map Type
Acadia,"Known for its rocky coastline, diverse trails, and Cadillac Mountain, the highest point on the U.S. East Coast. Covering most of Mount Desert Island and other coastal islands, Acadia features the tallest mountain on the Atlantic coast of the United States, granite peaks, ocean shoreline, woodlands, and lakes. There are freshwater, estuary, forest, and intertidal habitats.[13][14]","44.35,-68.21","February 26, 1919","49,071.40 acres (198.6 km2)",3970260,44.35,-68.21,https://www.alltrails.com/parks/us/maine/acadia-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=1cd3d4aa-098b-47d3-94fd-85ff6f09dd95&sid=970f5fb5-9f0e-41fc-be95-7f8cd56c2a98&p=1&sort=relevance | https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=c1d90731-8b77-4740-9ed2-98f94298b986&sid=970f5fb5-9f0e-41fc-be95-7f8cd56c2a98&p=1&sort=relevance | https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=d525b116-93e8-4dd9-b489-2f273b3bc39d&sid=970f5fb5-9f0e-41fc-be95-7f8cd56c2a98&p=1&sort=relevance | https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=132ea4e6-d44e-4b39-8b10-b0736881a693&sid=970f5fb5-9f0e-41fc-be95-7f8cd56c2a98&p=1&sort=relevance,Multiple Park Maps
American Samoa,"Remote tropical rainforest with pristine beaches, coral reefs, and Samoan culture. Great for snorkeling and birdwatching. The southernmost national park is on three Samoan islands in the South Pacific. It protects coral reefs, rainforests, volcanic mountains, and white beaches. The area is also home to flying foxes, brown boobies, sea turtles, and 900 species of fish.[15]","-14.25,-170.68","October 31, 1988","8,256.67 acres (33.4 km2)",12135,-14.25,-170.68,https://www.alltrails.com/parks/american-samoa/national-park-of-american-samoa,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=58b16aee-da36-4476-8a1e-5dedb87267fb&sid=fffb07a3-2679-422b-8101-002808988853&p=1&sort=relevance | https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=0e3794e8-0012-4706-9453-c570db38f886&sid=fffb07a3-2679-422b-8101-002808988853&p=1&sort=relevance | https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=14357be2-4ffc-4d0f-a38f-27bfda28b35f&sid=fffb07a3-2679-422b-8101-002808988853&p=1&sort=relevance,Multiple Park Maps
Arches,"Famous for over 2,000 natural stone arches, red rock landscapes, and challenging trails like Devil's Garden. This site features more than 2,000 natural sandstone arches, with some of the most popular arches in the park being Delicate Arch, Landscape Arch and Double Arch.[16] Millions of years of erosion have created these structures in a desert climate where the arid ground has life-sustaining biological soil crusts and potholes that serve as natural water-collecting basins. Other geologic formations include stone pinnacles, fins, and balancing rocks.[17]","38.68,-109.57","November 12, 1971","76,678.98 acres (310.3 km2)",1460652,38.68,-109.57,https://www.alltrails.com/parks/us/utah/arches-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=6aefc09f-6995-41df-abf6-54896840430d&sid=fd1c8d80-3025-47cc-927a-fdc5d3d55acf&p=1&sort=relevance,Park Map
Badlands,"Rugged geologic formations, scenic views, and bison herds. Popular for camping and backcountry hiking. The Badlands are a collection of buttes, pinnacles, spires, and mixed-grass prairies within the drainage basin of the White River, in southwestern South Dakota. They contain the largest known assemblage of late Eocene and Oligocene mammal fossils.[18] Wildlife includes bison, bighorn sheep, black-footed ferrets, and prairie dogs.[19]","43.75,-102.50","November 10, 1978","242,755.94 acres (982.4 km2)",1006809,43.75,-102.5,https://www.alltrails.com/parks/us/south-dakota/badlands-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=0dcec1e8-2033-4c6c-902e-0598aa07e7e7&sid=f3267ad0-b21f-4bd9-ba15-f5f99fda2612&p=1&sort=relevance,Park Map
Big Bend,"Diverse ecosystems with desert, river, and mountain scenery. Known for its remote camping and hiking trails. Named for the prominent bend in the Rio Grande along the U.S.–Mexico border, this park encompasses a large and remote part of the Chihuahuan Desert. Its main attraction is backcountry recreation in the arid Chisos Mountains and in canyons along the river. A wide variety of Cretaceous and Tertiary fossils as well as cultural artifacts of Native Americans also exist within its borders.[20] (BR)[21]","29.25,-103.25","June 12, 1944","801,163.21 acres (3,242.2 km2)",514107,29.25,-103.25,https://www.alltrails.com/parks/us/texas/big-bend-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=a1647b7e-fdee-4350-891a-afbd28331d1c&sid=37f6c99b-3df4-43b8-bd7f-b72cc502a603&p=1&sort=relevance,Park Map
Biscayne,"Mostly underwater, with opportunities for snorkeling, boating, and exploring coral reefs and mangroves. The central part of Biscayne Bay, this mostly underwater park at the north end of the Florida Keys has four interrelated marine ecosystems: mangrove forest, the Bay, the Keys, and coral reefs. Threatened animals include the West Indian manatee, American crocodile, various sea turtles, and the peregrine falcon.[22]","25.65,-80.08","June 28, 1980","172,971.11 acres (700.0 km2)",701023,25.65,-80.08,https://www.alltrails.com/parks/us/florida/biscayne-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=17a58f6c-3201-460b-8dd7-e69be6860896&sid=a9b0eb59-21d5-4ddb-88fa-98de97c3bb1b&p=1&sort=relevance,Park Map
Black Canyon of the Gunnison,"Features steep, narrow canyons with dramatic cliffs, rock climbing, and remote hiking options. The park protects a quarter of the Gunnison River, which slices sheer canyon walls from dark Precambrian-era rock. The canyon features some of the steepest cliffs and oldest rock in North America, and is a popular site for river rafting and rock climbing. The deep, narrow canyon is composed of gneiss and schist, which appears black when in shadow.[23]","38.57,-107.72","October 21, 1999","30,779.83 acres (124.6 km2)",297257,38.57,-107.72,https://www.alltrails.com/parks/us/colorado/black-canyon-of-the-gunnison-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=4c4ee03f-0ebb-4650-8001-6cd07a6bf6f4&sid=2ec6427a-5ea7-43b5-9b01-63eff5d6d43e&p=1&sort=relevance,Park Map
Bryce Canyon,"Known for its unique hoodoo rock formations, offering scenic overlooks and various hiking trails. Bryce Canyon is a geological amphitheater on southern Utah's Paunsaugunt Plateau with hundreds of tall, multicolored sandstone hoodoos formed by erosion. The region was originally settled by Native Americans and later by Mormon pioneers.[24]","37.57,-112.18","February 25, 1928","35,835.08 acres (145.0 km2)",2354660,37.57,-112.18,https://www.alltrails.com/parks/us/utah/bryce-canyon-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=7f36e7a7-d1ef-4cea-95e4-3cff345c0574&sid=1a381e42-6a9b-4b65-a6bd-12c391ea2646&p=1&sort=relevance,Park Map
Canyonlands,"Red rock canyons and pinnacles with rugged trails for advanced hikers and mountain bikers. This landscape was eroded into a maze of canyons, buttes, and mesas by the combined efforts of the Colorado River, Green River, and their tributaries, which divide the park into three districts. The park contains thousands of rock pinnacles and arches, as well as artifacts from Ancient Pueblo peoples.[25]","38.2,-109.93","September 12, 1964","337,597.83 acres (1,366.2 km2)",779147,38.2,-109.93,https://www.alltrails.com/parks/us/utah/canyonlands-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=49148eb2-baad-4ae1-b862-49f696e41fb2&sid=75eb2aa9-37f8-49b0-a9bc-8f75d8e933c1&p=1&sort=relevance,Park Map
Capitol Reef,"Famous for its white sandstone domes, cliffs, and ancient petroglyphs. Ideal for remote camping and hiking. The park's Waterpocket Fold is a 100-mile (160 km) monocline that exhibits the earth's diverse geologic layers. Other natural features include monoliths, eroded buttes, and sandstone domes, including one shaped like the United States Capitol.[26]","38.20,-111.17","December 18, 1971","241,904.50 acres (979.0 km2)",1227608,38.2,-111.17,https://www.alltrails.com/parks/us/utah/capitol-reef-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=21ef0a46-5097-4859-9acb-ec9d2c308358&sid=3a0c4914-2256-4498-902a-f4b01a2bc5ae&p=1&sort=relevance,Park Map
